University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
Jadara University,n/a,1000351,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Japan Advanced Institute of Science and Technology (JAIST),n/a,1000352,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Japan University of Economics,n/a,1000353,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Jashore University of Science and Technology,n/a,1000354,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Jendouba,n/a,1000355,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Jizzakh Polytechnic Institute,n/a,1000356,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Jizzakh State Pedagogical University,n/a,1000357,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
John von Neumann University,n/a,1000358,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kabarak University,n/a,1000359,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kabardino-Balkarian State University,n/a,1000360,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Kabianga,n/a,1000361,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kadir Has University,n/a,1000362,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kamianets-Podіlskyi Ivan Ohiienko National University,n/a,1000363,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Karaganda Buketov University,n/a,1000364,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Karaganda University of Kazpotrebsoyuz,n/a,1000365,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Karakalpak State University,n/a,1000366,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Karshi Engineering Economics Institute,n/a,1000367,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kazakh-British Technical University,n/a,1000368,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kazakh National Pedagogical University Abai,n/a,1000369,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kazakh National Women’s Teacher Training University,n/a,1000370,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kazakhstan Medical University KSPH,n/a,1000371,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kazan State Power Engineering University,n/a,1000372,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Keisen University,n/a,1000373,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kharkiv University of Humanities “People’s Ukrainian Academy”,n/a,1000374,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kharkiv National Automobile and Highway University,n/a,1000375,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kharkiv National University of Internal Affairs,n/a,1000376,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Khazar University,n/a,1000377,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Khulna University of Engineering and Technology (KUET),n/a,1000378,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Khwaja Fareed University of Engineering and Information Technology,n/a,1000379,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Khyber Medical University,n/a,1000380,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kimyo International University in Tashkent,n/a,1000381,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
King Abdullah University of Science and Technology (KAUST),n/a,1000382,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
King Danylo University,n/a,1000383,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
King Edward Medical University,n/a,1000384,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kinnaird College for Women,n/a,1000385,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Kirkuk,n/a,1000386,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kitami Institute of Technology,n/a,1000387,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
KLE Technological University,n/a,1000388,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Knowledge University,n/a,1000389,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kobe Gakuin University,n/a,1000390,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kocaeli Health and Technology University,n/a,1000391,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kohsar University Murree,n/a,1000392,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kokshetau State University,n/a,1000393,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kokugakuin University,n/a,1000394,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Konan University,n/a,1000395,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Konan Women’s University,n/a,1000396,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Koya University,n/a,1000397,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
KPR Institute of Engineering and Technology,n/a,1000398,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kumasi Technical University,n/a,1000399,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kursk State Medical University,n/a,1000400,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kütahya Health Sciences University,n/a,1000401,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kutaisi University,n/a,1000402,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kuwait College of Science and Technology (KCST),n/a,1000403,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kyiv National Economic University,n/a,1000404,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kyoai Gakuen University,n/a,1000405,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kyoto Koka Women’s University,n/a,1000406,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kyoto Notre Dame University,n/a,1000407,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Kyrgyz-Turkish Manas University,n/a,1000408,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
K. Zhubanov Aktobe Regional University,n/a,1000409,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Lahore Leads University,n/a,1000410,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Landmark University,n/a,1000411,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Larbi Tebessi University,n/a,1000412,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
La Salle University,n/a,1000413,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Las Américas (UDLA),n/a,1000414,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Leeds Arts University,n/a,1000415,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Leeds Conservatoire,n/a,1000416,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Leeds Trinity University,n/a,1000417,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Lesya Ukrainka Volyn National University,n/a,1000418,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Liaquat University of Medical and Health Sciences (LUMHS),n/a,1000419,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Liberal Arts Bangladesh,n/a,1000420,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Lincoln University College,n/a,1000421,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Lira University,n/a,1000422,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Université du Littoral Côte d’Opale,n/a,1000423,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Liverpool Hope University,n/a,1000424,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Liverpool Institute for Performing Arts,n/a,1000425,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Liverpool School of Tropical Medicine,n/a,1000426,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
The LNM Institute of Information Technology,n/a,1000427,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
London Academy of Music and Dramatic Art (LAMDA),n/a,1000428,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
London Business School,n/a,1000429,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
London School of Hygiene and Tropical Medicine,n/a,1000430,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
London Metropolitan University,n/a,1000431,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Lviv State University of Life Safety,n/a,1000432,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Magallanes,n/a,1000433,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad del Magdalena,n/a,1000434,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University Centre of Maghnia,n/a,1000435,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mahatma Jyotiba Phule Rohilkhand University,n/a,1000436,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Malawi University of Science and Technology (MUST),n/a,1000437,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Management Development Institute (MDI),n/a,1000438,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Management & Science University (MSU),n/a,1000439,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Manuela Beltrán,n/a,1000440,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mapúa University,n/a,1000441,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Margulan University,n/a,1000442,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mariano Marcos State University,n/a,1000443,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Maritime University of Szczecin,n/a,1000444,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Mataram,n/a,1000445,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
M. Auezov South Kazakhstan University,n/a,1000446,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Mayor de San Simón,n/a,1000447,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Medea,n/a,1000448,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Medellín,n/a,1000449,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Medizinische Hochschule Hannover,n/a,1000450,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Meikai University,n/a,1000451,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universitas Mercu Buana,n/a,1000452,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Middle East University,n/a,1000453,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mindanao State University – Iligan Institute of Technology,n/a,1000454,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Minhaj University Lahore,n/a,1000455,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Misan,n/a,1000456,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Misr University for Science and Technology,n/a,1000457,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mizoram University,n/a,1000458,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
M. Kumarasamy College of Engineering,n/a,1000459,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
"""""MNS University of Agriculture"," Multan""""",n/a,1000460,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0
Modern University for Business and Science,n/a,1000461,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,n/a,1000462,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Mohamed Lamine Debaghin Setif 2,n/a,1000463,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Monroe College,n/a,1000464,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Monterrey,n/a,1000465,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Russian Biotechnological University (BIOTECH),n/a,1000466,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Moscow State Linguistic University,n/a,1000467,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Moscow Technical University of Communications and Informatics,n/a,1000468,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Mostar,n/a,1000469,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Muban Chombueng Rajabhat University,n/a,1000470,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universitas Muhammadiyah Yogyakarta,n/a,1000471,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mukogawa Women’s University,n/a,1000472,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Mulungushi University,n/a,1000473,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Musashino University,n/a,1000474,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nacional Abierta y a Distancia (UNAD),n/a,1000475,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nacional de Asunción,n/a,1000476,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nacional de Chimborazo,n/a,1000477,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nacional de Itapúa,n/a,1000478,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nacional de Rafaela (UNRaf),n/a,1000479,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nagoya University of Commerce & Business,n/a,1000480,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nakhchivan State University,n/a,1000481,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nakhon Ratchasima Rajabhat University,n/a,1000482,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Namal University,n/a,1000483,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Namangan Engineering Construction Institute,n/a,1000484,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Namangan Institute of Engineering and Technology,n/a,1000485,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Namangan State University,n/a,1000486,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Narxoz University,n/a,1000487,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
"""""Nasarawa State University"," Keffi""""",n/a,1000488,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0
National Agrarian University La Molina,n/a,1000489,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National University of Computer and Emerging Sciences,n/a,1000490,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National Film and Television School,n/a,1000491,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National University of Food Technologies,n/a,1000492,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
