University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,master_account
Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,167,private
Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,private
Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,private
University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,master_account
Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,135,private
California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,123,private
Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account
"""""University of California"," Berkeley""""",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,171
Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,216,private
ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,master_account
Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,750,master_account
The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,219,private
Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,404,master_account
Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,198,private
University of Pennsylvania,91.0,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,268,private
Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,168,private
"""""University of California"," Los Angeles""""",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,341
National University of Singapore,90.0,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,116,master_account
Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,175,private
University of Toronto,88.6,210,77.5,28,94.1,15,92.8,81,96.1,103,90.7,122,master_account
UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,master_account
University of Michigan-Ann Arbor,87.4,230,84.7,22,87.4,23,95.5,45,80.7,255,69.0,421,public
Carnegie Mellon University,86.3,240,75.0,32,84.6,26,98.9,6,87.3,182,85.5,184,private
University of Washington,85.3,250,78.0,27,83.5,29,98.2,11,77.6,294,73.2,362,public
Duke University,83.9,260,79.3,24,76.1,41,96.2,36,100.0,6,74.8,331,private
New York University,83.5,270,73.2,36,84.0,28,94.9,49,75.4,330,80.7,245,private
Northwestern University,83.2,280,72.3,37,78.8,34,97.8,15,99.7,50,75.9,315,private
The University of Tokyo,83.1,290,93.9,11,94.2,14,67.8,607,100.0,27,49.7,812,master_account
University of Edinburgh,82.5,300,70.7,41,77.5,37,96.9,30,71.1,404,97.0,22,master_account
Technical University of Munich,82.5,310,69.8,44,85.1,25,90.0,128,100.0,26,83.1,208,master_account
"""""Nanyang Technological University"," Singapore""""",82.3,320,66.2,52,80.9,32,94.5,54,99.7,49,93.3,78
École Polytechnique Fédérale de Lausanne,81.4,330,74.5,33,73.2,50,90.3,120,99.8,40,95.8,33,master_account
"""""University of California"," San Diego""""",81.0,340,66.0,53,78.4,35,97.6,19,100.0,1,74.3,342
University of Hong Kong,80.3,350,65.6,55,72.3,52,96.4,35,95.2,116,96.8,23,master_account
Georgia Institute of Technology,80.0,360,63.4,63,78.9,33,94.1,57,94.6,123,84.8,190,public
University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,master_account
King’s College London,79.0,380,59.8,74,75.1,47,97.7,17,74.2,347,97.5,13,master_account
LMU Munich,79.0,390,65.3,56,76.8,38,92.2,89,100.0,15,76.9,298,master_account
Paris Sciences et Lettres – PSL Research University Paris,78.5,400,75.7,31,72.8,51,83.2,253,99.7,51,81.6,231,master_account
University of British Columbia,78.0,410,62.5,66,76.6,39,90.5,118,76.7,304,95.0,49,master_account
University of Illinois at Urbana-Champaign,77.9,420,69.5,45,81.5,31,85.2,206,85.3,206,64.0,502,public
Shanghai Jiao Tong University,77.7,430,76.6,29,82.5,30,75.4,432,100.0,24,60.6,572,master_account
Fudan University,77.5,440,76.5,30,75.3,43,83.5,246,96.0,104,56.1,658,master_account
KU Leuven,77.0,450,60.1,72,74.9,48,91.9,95,100.0,13,79.6,259,master_account
London School of Economics and Political Science,76.8,460,59.5,77,73.5,49,95.4,46,55.9,715,94.1,63,master_account
Universität Heidelberg,76.7,470,67.7,49,64.3,69,94.6,51,99.3,66,76.4,304,master_account
Delft University of Technology,76.3,480,66.7,51,78.2,36,76.5,404,100.0,5,92.8,86,master_account
McGill University,76.0,490,62.3,68,72.3,53,88.8,141,76.1,315,92.5,93,master_account
Karolinska Institute,75.9,500,58.9,82,67.9,56,95.3,48,96.0,106,85.7,181,master_account
University of Manchester,75.6,510,61.4,69,67.1,60,93.1,74,73.1,367,95.6,37,master_account
University of Texas at Austin,75.5,520,66.0,54,75.7,42,91.0,109,81.4,247,47.3,881,public
Chinese University of Hong Kong,75.4,530,59.1,80,61.5,80,97.6,21,95.9,107,93.6,69,master_account
Monash University,75.2,540,55.3,96,67.8,58,94.7,50,99.7,48,91.1,115,master_account
Kyoto University,75.0,550,85.4,21,84.3,27,60.0,779,100.0,14,45.7,940,master_account
Zhejiang University,75.0,560,70.2,42,75.3,45,78.7,350,99.0,69,65.5,475,master_account
University of Science and Technology of China,74.8,570,74.3,34,66.3,62,88.2,152,95.6,112,45.4,951,master_account
Université Paris-Saclay,74.4,580,70.9,40,66.1,63,82.4,277,92.4,140,78.6,276,master_account
"""""University of California"," Davis""""",74.1,590,63.7,61,67.8,57,87.2,170,91.5,147,78.7,271
The University of Sydney,73.8,600,52.6,115,68.9,54,92.0,93,97.7,91,90.2,126,master_account
University of Amsterdam,73.6,610,55.0,99,63.1,74,96.7,33,77.6,292,93.2,80,master_account
Seoul National University,73.4,620,74.2,35,75.3,44,74.6,451,100.0,23,43.7,998,master_account
University of Wisconsin-Madison,73.3,630,68.5,46,67.5,59,85.5,200,79.8,267,62.8,526,public
Brown University,73.0,640,69.8,43,59.6,87,89.7,130,69.3,449,72.1,374,private
The Hong Kong University of Science and Technology,73.0,650,54.0,105,62.1,76,92.9,77,100.0,10,95.5,40,master_account
Wageningen University & Research,73.0,660,56.4,90,59.8,85,93.8,63,98.8,74,92.4,95,master_account
Australian National University,72.6,670,55.9,91,68.0,55,86.6,180,82.0,238,94.8,51,master_account
Washington University in St Louis,72.3,680,60.8,71,57.2,101,97.5,24,77.8,291,72.7,367,private
"""""University of California"," Santa Barbara""""",72.1,690,47.4,168,64.7,68,96.9,29,99.4,64,84.0,200
The University of Queensland,72.0,700,52.9,113,64.3,70,89.1,136,99.8,43,94.0,64,master_account
Institut Polytechnique de Paris,71.3,710,71.0,39,61.6,79,70.8,542,98.8,71,97.1,21,master_account
University of North Carolina at Chapel Hill,71.2,720,63.4,64,60.3,83,93.9,60,75.8,321,50.9,775,public
Nanjing University,70.9,730,64.0,59,61.7,78,85.3,203,96.8,97,61.8,544,master_account
University of Southern California,70.8,740,59.2,79,58.8,90,92.5,85,74.4,345,74.3,345,private
Sorbonne University,70.5,750,64.7,58,60.8,81,83.7,242,69.5,444,78.8,269,master_account
Yonsei University (Seoul campus),70.4,760,68.1,47,64.3,71,79.3,339,99.9,39,51.8,747,master_account
Leiden University,70.2,770,46.0,190,62.7,75,93.0,75,98.1,87,87.8,153,master_account
Boston University,70.1,780,59.6,76,54.1,115,94.3,56,76.4,311,74.1,347,private
University of Groningen,70.0,790,47.5,166,57.2,100,94.5,52,99.9,30,93.4,75,master_account
University of Zurich,69.9,800,54.8,103,53.4,121,91.8,96,93.7,131,92.4,96,master_account
University of Bristol,69.8,810,48.7,148,56.5,105,97.3,26,72.3,378,92.5,91,master_account
City University of Hong Kong,69.3,820,52.2,116,52.4,124,91.1,105,100.0,4,98.7,2,master_account
Korea Advanced Institute of Science and Technology (KAIST),69.2,830,67.1,50,65.8,64,77.4,382,100.0,12,41.6,1064,master_account
UNSW Sydney,68.9,840,47.2,174,57.4,98,91.1,107,98.6,80,94.5,59,master_account
University of Minnesota,68.7,850,61.0,70,58.5,92,87.2,171,99.8,42,48.3,857,public
Purdue University West Lafayette,68.5,860,64.0,60,65.3,66,71.8,516,84.3,215,76.7,302,public
University of Glasgow,68.2,870,48.1,157,51.8,128,96.8,32,69.7,438,96.1,30,master_account
Hong Kong Polytechnic University,68.2,880,45.7,193,54.1,117,94.5,53,87.4,181,96.3,29,master_account
Humboldt University of Berlin,68.2,890,55.3,95,63.7,72,82.8,263,65.4,540,79.0,264,master_account
RWTH Aachen University,68.0,900,54.9,101,64.8,67,78.9,347,100.0,22,71.2,390,master_account
University of Bonn,67.8,910,51.7,120,57.7,96,89.7,129,82.6,233,73.8,352,master_account
"""""University of California"," Irvine""""",67.4,920,47.1,175,53.8,119,93.2,72,96.1,102,80.9,242
Vanderbilt University,67.4,930,54.1,104,48.5,153,96.0,37,96.5,99,62.9,521,private
Charité - Universitätsmedizin Berlin,67.2,940,47.5,165,49.1,149,97.7,16,100.0,3,75.2,327,master_account
Lomonosov Moscow State University,67.0,950,87.5,17,75.2,46,33.9,1352,91.1,155,73.8,354,master_account
University of Tübingen,67.0,960,49.1,142,56.5,106,89.0,138,99.8,45,72.0,375,master_account
KTH Royal Institute of Technology,66.9,970,53.5,107,57.8,95,81.0,300,97.7,89,82.5,213,master_account
University of Southampton,66.9,980,48.9,143,50.1,140,92.7,82,73.1,368,96.5,26,master_account
Erasmus University Rotterdam,66.7,990,38.5,347,54.1,116,96.9,31,94.7,122,90.6,124,master_account
Ohio State University (Main campus),66.7,1000,55.8,92,52.7,123,88.4,147,85.0,209,67.3,441,public
University of Birmingham,66.6,1010,46.1,185,49.3,147,95.5,42,72.1,383,95.1,45,master_account
Free University of Berlin,66.5,1020,52.1,117,59.7,86,82.5,272,71.6,394,82.4,214,master_account
University of Copenhagen,66.3,1030,49.2,139,51.1,134,91.3,102,89.5,171,80.1,255,master_account
McMaster University,66.3,1040,43.8,225,51.3,133,93.0,76,100.0,17,87.3,162,master_account
University of Sheffield,66.2,1050,48.0,161,49.5,144,92.3,88,77.5,297,92.0,100,master_account
Emory University,66.1,1060,53.1,109,45.7,183,95.5,43,81.6,241,69.3,414,private
Lund University,66.1,1070,46.7,178,56.6,104,86.6,181,99.8,41,79.8,258,master_account
University of Warwick,66.1,1080,48.1,159,52.1,126,89.0,139,70.5,418,96.4,28,master_account
Aarhus University,65.9,1090,44.9,206,59.0,89,86.3,186,98.7,75,76.3,306,master_account
University of Alberta,65.9,1100,50.1,132,55.5,109,80.9,301,99.9,29,90.7,121,master_account
University of Adelaide,65.8,1110,42.4,254,50.6,138,92.8,78,95.0,119,92.9,84,master_account
University of Göttingen,65.8,1120,50.0,134,54.8,112,90.1,125,70.8,411,70.7,396,master_account
University of Montreal,65.8,1130,51.2,124,54.1,118,81.7,289,96.6,98,87.7,154,master_account
"""""University of Maryland"," College Park""""",65.7,1140,49.4,138,58.1,93,92.8,79,70.2,430,48.6,846
Ghent University,65.6,1150,47.2,173,59.3,88,85.3,201,99.7,46,65.7,467,master_account
University of Bern,65.4,1160,45.1,203,47.0,167,93.3,69,99.2,67,87.0,166,master_account
Michigan State University,65.4,1170,54.8,102,52.3,125,86.2,189,70.0,432,71.4,387,public
Texas A&M University,65.3,1180,55.2,98,62.1,77,77.3,388,76.4,313,64.1,501,public
Rice University,65.2,1190,56.4,89,45.6,184,86.5,183,73.9,351,85.8,179,private
University of Vienna,65.2,1200,48.7,149,60.3,84,77.4,385,75.9,320,94.9,50,master_account
University of Helsinki,65.1,1210,48.1,158,57.6,97,90.6,114,69.2,451,56.7,647,master_account
Penn State (Main campus),65.0,1220,53.1,111,58.7,91,83.7,241,70.4,421,58.4,616,public
University of Basel,64.9,1230,50.8,127,42.9,210,87.7,157,99.4,62,95.4,42,master_account
University of Massachusetts,64.9,1240,54.0,106,46.9,169,87.3,168,85.6,200,77.3,290,master_account
Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51.0,137,93.4,68,91.5,151,84.3,197,master_account
Technical University of Denmark,64.6,1260,50.7,129,47.4,162,83.2,257,99.7,52,92.2,98,master_account
University of Oslo,64.3,1270,45.6,197,50.6,139,92.1,91,72.3,379,75.6,319,master_account
University of Freiburg,64.1,1280,46.7,177,51.3,132,86.2,188,100.0,9,74.2,346,master_account
University of Leeds,63.9,1290,46.1,187,49.1,150,87.3,167,68.8,458,94.6,57,master_account
University of Nottingham,63.8,1300,45.6,196,45.9,180,90.6,115,71.2,402,92.8,87,master_account
Tohoku University,63.8,1310,67.8,48,66.4,61,53.8,924,99.9,37,58.5,613,master_account
University of Florida,63.7,1320,55.5,93,56.7,103,78.3,357,88.9,174,50.9,774,public
University of Rochester,63.6,1330,50.8,128,42.9,211,88.3,150,89.0,173,81.7,229,private
Trinity College Dublin,63.2,1340,44.0,221,48.4,154,87.6,160,76.6,309,91.4,110,master_account
Queen Mary University of London,63.1,1350,37.6,376,42.6,216,97.9,14,73.9,350,98.1,7,master_account
University of Hamburg,63.0,1360,44.7,209,53.3,122,84.8,216,98.6,78,65.7,470,master_account
Technical University of Berlin,63.0,1370,47.8,163,55.6,108,78.1,364,99.9,36,71.3,388,master_account
University of Colorado Boulder,62.9,1380,46.5,182,51.9,127,88.6,145,82.8,231,56.6,650,public
Maastricht University,62.9,1390,41.4,271,47.1,166,86.1,190,98.1,88,97.4,18,master_account
Karlsruhe Institute of Technology,62.8,1400,49.9,137,56.8,102,72.5,498,99.9,32,77.6,286,master_account
Radboud University Nijmegen,62.8,1410,39.1,334,51.0,136,91.3,103,81.4,246,77.7,284,master_account
Uppsala University,62.8,1420,43.9,223,55.0,111,81.3,296,97.7,92,74.7,336,master_account
University of Lausanne,62.7,1430,41.7,268,46.3,175,87.3,166,99.5,59,90.4,125,master_account
The University of Western Australia,62.7,1440,37.7,368,48.6,152,88.7,144,97.2,94,93.5,74,master_account
University of Pittsburgh-Pittsburgh campus,62.5,1450,49.1,141,46.1,178,92.4,87,76.1,316,50.9,776,public
Sungkyunkwan University (SKKU),62.5,1460,55.5,94,54.2,114,72.9,485,98.8,73,61.3,554,master_account
University of York,62.4,1470,42.4,257,44.8,191,90.8,112,66.9,507,93.1,83,master_account
University of Technology Sydney,62.3,1480,36.2,421,43.3,207,95.9,39,78.9,278,94.3,60,master_account
Pohang University of Science and Technology (POSTECH),62.2,1490,58.1,85,51.5,130,77.2,391,100.0,21,40.0,1116,master_account
University of Auckland,62.0,1500,39.7,316,45.7,182,88.3,148,95.8,109,89.9,129,master_account
Sichuan University,62.0,1510,59.1,81,57.3,99,69.3,573,93.2,135,46.1,927,master_account
University of Barcelona,61.9,1520,42.4,255,47.3,163,91.4,100,83.9,218,65.2,481,master_account
National Taiwan University (NTU),61.9,1530,57.3,88,54.8,113,70.8,544,99.9,33,51.2,766,master_account
Université Paris Cité,61.9,1540,47.9,162,42.7,214,90.6,116,68.3,472,73.2,361,master_account
University of Arizona,61.8,1550,48.7,147,51.3,131,85.7,193,84.0,217,47.0,889,public
University of Bologna,61.8,1560,53.0,112,44.6,193,86.5,182,79.4,272,54.3,686,master_account
Lancaster University,61.8,1570,40.2,304,40.7,240,93.9,59,66.6,514,96.8,24,master_account
Huazhong University of Science and Technology,61.7,1580,48.8,145,48.1,156,90.0,127,96.9,96,32.9,1389,master_account
University of Waterloo,61.7,1590,42.2,261,49.3,148,83.7,243,78.3,286,89.3,133,master_account
University of Cologne,61.5,1600,42.9,241,47.1,165,85.6,197,98.8,70,73.3,358,master_account
University of Antwerp,61.4,1610,38.2,357,44.4,195,92.5,84,98.4,81,74.7,334,master_account
Dartmouth College,61.4,1620,57.3,87,40.7,239,84.7,218,68.4,468,60.2,580,private
TU Dresden,61.4,1630,46.6,181,51.1,135,79.3,338,99.7,53,67.9,433,master_account
Case Western Reserve University,61.3,1640,51.7,121,40.2,246,88.7,142,71.4,398,65.0,484,private
Wuhan University,61.3,1650,50.9,126,45.0,189,88.5,146,90.6,160,41.0,1082,master_account
University of Virginia (Main campus),61.1,1660,51.1,125,40.1,248,88.9,140,79.9,265,60.8,570,public
University of Cape Town,60.9,1670,38.7,344,47.0,168,88.3,149,78.2,287,82.9,210,master_account
Université Catholique de Louvain,60.8,1680,39.5,322,49.4,146,83.1,259,92.0,145,83.1,206,master_account
Eindhoven University of Technology,60.8,1690,47.4,169,51.5,129,71.3,528,100.0,7,87.3,161,master_account
Harbin Institute of Technology,60.8,1700,58.8,83,55.1,110,70.9,539,91.2,154,33.9,1360,master_account
University of Liverpool,60.8,1710,38.4,350,40.2,247,93.4,67,64.9,550,96.4,27,master_account
Newcastle University,60.8,1720,37.2,387,41.1,234,93.8,61,72.1,385,91.3,112,master_account
Scuola Normale Superiore di Pisa,60.8,1730,60.1,73,42.6,217,82.9,262,34.9,1094,59.3,597,master_account
Durham University,60.6,1740,43.5,231,44.5,194,83.5,245,65.6,534,95.8,32,master_account
Osaka University,60.4,1750,62.5,67,65.7,65,50.5,1008,100.0,20,51.0,773,master_account
University of Würzburg,60.4,1760,40.3,301,43.4,206,90.8,111,99.6,58,63.2,514,master_account
Beijing Normal University,60.2,1770,57.7,86,45.8,181,77.5,380,67.6,488,52.3,728,master_account
University of Exeter,60.2,1780,33.5,518,42.5,221,95.7,40,52.2,764,95.5,39,master_account
University of Ottawa,60.2,1790,39.6,320,46.5,174,84.4,226,80.2,261,86.9,169,master_account
Macquarie University,60.1,1800,36.7,405,44.2,198,87.4,165,90.9,159,88.6,142,master_account
Sapienza University of Rome,60.0,1810,53.5,108,48.1,157,77.9,371,85.4,202,46.5,917,master_account
Arizona State University (Tempe),59.9,1820,40.9,281,46.2,177,87.5,161,71.5,395,71.7,378,public
University of Geneva,59.8,1830,41.8,266,38.0,287,86.7,179,80.7,254,97.1,20,master_account
University of Twente,59.7,1840,43.4,236,46.0,179,75.1,438,99.6,55,93.3,79,master_account
Stockholm University,59.6,1850,32.1,587,49.6,143,91.0,108,59.2,659,81.2,236,master_account
Tongji University,59.6,1860,50.0,136,53.6,120,69.5,569,85.4,204,67.7,437,master_account
Georgetown University,59.5,1870,52.6,114,37.0,304,85.1,209,92.2,144,53.2,705,private
University of Mannheim,59.5,1880,36.5,413,45.4,186,90.2,124,93.6,132,63.7,507,master_account
Chalmers University of Technology,59.4,1890,42.7,247,46.6,172,79.4,333,97.1,95,74.1,348,master_account
Cardiff University,59.3,1900,35.5,444,39.6,252,91.9,94,70.4,419,92.5,92,master_account
Tokyo Institute of Technology,59.2,1910,59.5,78,63.3,73,49.4,1031,100.0,28,60.1,581,master_account
Tufts University,59.2,1920,51.5,122,35.0,350,87.5,164,71.7,392,62.8,525,private
University of Erlangen-Nuremberg,59.0,1930,42.6,250,48.1,155,79.7,327,100.0,8,61.0,562,master_account
University of Macau,59.0,1940,38.4,351,38.1,285,90.3,121,61.9,614,93.7,68,master_account
University of Münster,59.0,1950,43.8,226,47.3,164,83.7,240,81.5,244,53.5,702,master_account
University of St Andrews,59.0,1960,46.0,192,42.6,218,77.7,377,63.6,575,95.8,34,master_account
Ulm University,59.0,1970,40.6,292,41.2,233,87.9,156,99.6,56,63.0,518,master_account
Indiana University,58.9,1980,47.3,171,38.4,273,84.9,212,85.8,198,64.7,491,public
University of Notre Dame,58.7,1990,51.9,118,42.6,215,76.1,414,72.9,372,69.9,409,private
Queensland University of Technology,58.7,2000,33.9,498,42.1,225,89.5,133,85.9,195,82.2,220,master_account
Ulsan National Institute of Science and Technology (UNIST),58.7,2010,47.7,164,40.8,238,85.0,210,94.6,124,46.5,918,master_account
Aalborg University,55.9–58.6,2020,33.7,508,45.0,187,83.0,260,80.6,256,72.4,371,master_account
Aalto University,55.9–58.6,2030,42.0,262,43.1,208,79.7,326,87.2,184,81.8,224,master_account
University of Aberdeen,55.9–58.6,2040,36.4,414,35.8,328,81.8,286,78.9,277,97.5,12,master_account
Abu Dhabi University,55.9–58.6,2050,48.2,154,30.0,471,85.8,192,25.5,1315,97.8,9,master_account
Autonomous University of Barcelona,55.9–58.6,2060,45.1,201,41.4,228,84.8,215,67.6,487,68.8,423,master_account
University of Calgary,55.9–58.6,2070,36.5,409,41.4,229,81.7,288,88.8,175,85.2,186,master_account
"""""University of California"," Santa Cruz""""",55.9–58.6,2080,34.9,465,39.8,251,93.3,70,73.2,363,77.9,280
Curtin University,55.9–58.6,2090,30.2,677,36.5,315,87.5,162,78.8,279,94.7,53,master_account
Friedrich Schiller University Jena,55.9–58.6,2100,43.2,237,42.0,226,81.8,287,79.8,266,69.3,415,master_account
George Washington University,55.9–58.6,2110,48.2,155,35.7,329,86.0,191,67.3,492,66.1,462,private
Goethe University Frankfurt,55.9–58.6,2120,40.2,303,38.2,280,82.4,276,74.6,341,70.8,393,master_account
University of Gothenburg,55.9–58.6,2130,34.0,491,43.4,205,90.2,123,75.4,328,65.7,469,master_account
University of Hawai’i at Mānoa,55.9–58.6,2140,42.0,263,42.5,222,75.8,422,68.3,471,77.3,289,public
University of Illinois Chicago,55.9–58.6,2150,50.3,131,33.9,382,80.0,322,76.7,305,61.0,563,public
Indian Institute of Science,55.9–58.6,2160,62.9,65,57.8,94,53.9,918,96.0,105,31.1,1460,master_account
University of Iowa,55.9–58.6,2170,46.1,186,37.0,305,79.9,324,88.6,177,55.8,664,public
King Fahd University of Petroleum and Minerals,55.9–58.6,2180,37.6,374,38.7,266,86.3,187,90.9,158,84.8,192,master_account
Korea University,55.9–58.6,2190,48.6,150,46.6,173,72.0,507,99.7,47,62.5,533,master_account
University of Leicester,55.9–58.6,2200,33.4,527,34.2,372,95.5,44,67.9,482,95.1,46,master_account
Université Libre de Bruxelles,55.9–58.6,2210,35.8,437,45.0,188,83.5,247,76.4,312,89.6,131,master_account
University of Luxembourg,55.9–58.6,2220,39.6,319,39.4,256,78.1,363,63.0,588,93.2,81,master_account
Medical University of Graz,55.9–58.6,2230,32.0,590,33.5,389,91.6,99,94.9,120,81.9,223,master_account
Medical University of Vienna,55.9–58.6,2240,40.0,308,28.7,500,93.5,65,94.1,126,81.7,228,master_account
University of Miami,55.9–58.6,2250,48.5,153,34.7,357,83.2,252,80.4,258,67.5,439,private
Moscow Institute of Physics and Technology (MIPT),55.9–58.6,2260,63.5,62,48.8,151,55.1,884,68.6,464,72.7,366,master_account
Nagoya University,55.9–58.6,2270,55.3,97,55.7,107,54.3,907,99.5,60,41.9,1057,master_account
University of Newcastle,55.9–58.6,2280,33.8,502,38.8,264,85.5,199,76.5,310,83.4,204,master_account
"""""Northeastern University"," US""""",55.9–58.6,2290,40.2,305,33.6,388,93.3,71,68.9,457,83.3,205
University of Padua,55.9–58.6,2300,46.1,188,38.5,270,84.1,231,77.1,301,53.1,708,master_account
Politecnico di Milano,55.9–58.6,2310,42.9,243,49.7,141,71.9,510,95.3,115,65.3,479,master_account
Pompeu Fabra University,55.9–58.6,2320,35.9,432,38.3,277,90.5,119,78.4,284,74.7,335,master_account
University of Potsdam,55.9–58.6,2330,37.3,383,44.7,192,80.4,316,91.0,156,68.5,427,master_account
Queen’s University Belfast,55.9–58.6,2340,34.0,494,38.0,291,88.7,143,65.0,547,98.4,5,master_account
University of Reading,55.9–58.6,2350,37.5,379,40.6,242,84.1,233,70.8,412,95.5,41,master_account
Rutgers University – New Brunswick,55.9–58.6,2360,46.4,184,37.2,302,78.4,355,80.1,262,63.7,508,public
Sant’Anna School of Advanced Studies – Pisa,55.9–58.6,2370,50.4,130,39.0,262,80.1,318,90.3,163,60.8,568,master_account
University of São Paulo,55.9–58.6,2380,59.8,75,60.7,82,57.3,840,68.2,477,42.5,1031,master_account
Southern University of Science and Technology (SUSTech),55.9–58.6,2390,32.9,550,40.8,237,92.8,80,60.3,640,69.3,416,master_account
Sun Yat-sen University,55.9–58.6,2400,46.6,180,39.5,255,83.2,256,86.2,194,39.1,1146,master_account
University of Sussex,55.9–58.6,2410,29.7,712,35.6,333,92.7,83,66.1,526,95.4,43,master_account
Swinburne University of Technology,55.9–58.6,2420,31.7,606,34.0,379,91.3,104,75.4,331,85.6,183,master_account
Tel Aviv University,55.9–58.6,2430,40.7,288,49.7,142,83.0,261,76.2,314,52.9,719,master_account
Tianjin University,55.9–58.6,2440,46.1,189,47.6,160,71.4,525,93.5,133,55.3,669,master_account
Tilburg University,55.9–58.6,2450,32.8,555,44.9,190,80.1,320,82.6,234,84.5,195,master_account
University College Dublin,55.9–58.6,2460,34.3,484,41.3,232,84.0,238,75.1,337,88.1,150,master_account
University of Utah,55.9–58.6,2470,43.5,232,38.5,271,87.0,174,83.5,221,40.9,1085,public
Vrije Universiteit Brussel,55.9–58.6,2480,37.8,366,42.6,220,80.9,305,92.4,141,78.5,278,master_account
Western University,55.9–58.6,2490,40.2,306,42.9,212,75.2,436,99.6,57,87.5,158,master_account
University of Wollongong,55.9–58.6,2500,36.8,398,39.3,258,84.0,239,91.4,153,91.7,104,master_account
University of Bath,53.1–55.8,2510,34.7,471,35.1,345,80.5,310,65.3,541,95.0,48,master_account
Beijing Institute of Technology,53.1–55.8,2520,45.1,202,44.0,200,74.7,443,82.1,237,36.8,1250,master_account
University of Bergen,53.1–55.8,2530,36.7,399,33.9,381,84.2,227,69.4,445,76.3,308,master_account
Boston College,53.1–55.8,2540,43.5,230,30.5,454,84.6,219,60.7,628,57.8,626,private
Brandeis University,53.1–55.8,2550,36.7,401,28.3,507,84.6,220,64.2,561,81.4,233,private
"""""University of California"," Riverside""""",53.1–55.8,2560,35.9,429,35.4,336,85.7,194,70.6,415,77.0,297
Deakin University,53.1–55.8,2570,28.3,785,34.6,359,91.4,101,72.2,381,85.7,180,master_account
University of East Anglia,53.1–55.8,2580,31.1,636,32.0,416,90.9,110,51.6,781,88.7,140,master_account
École Normale Supérieure de Lyon,53.1–55.8,2590,58.5,84,46.8,170,53.9,917,78.5,282,68.0,431,master_account
Florida State University,53.1–55.8,2600,38.2,358,38.6,269,79.4,334,68.2,475,58.8,610,public
Griffith University,53.1–55.8,2610,30.5,665,37.8,295,82.7,266,74.6,342,81.8,225,master_account
Heinrich Heine University Düsseldorf,53.1–55.8,2620,36.7,404,34.5,360,82.3,280,82.2,236,66.8,450,master_account
University of Hohenheim,53.1–55.8,2630,35.0,461,35.5,334,85.7,195,80.5,257,61.7,549,master_account
Humanitas University,53.1–55.8,2640,32.3,577,27.9,516,98.0,13,62.8,596,67.1,442,master_account
Johannes Gutenberg University of Mainz,53.1–55.8,2650,39.5,324,32.6,405,82.3,281,89.0,172,66.0,463,master_account
Khalifa University,53.1–55.8,2660,31.7,602,35.9,327,78.4,354,95.6,111,97.4,17,master_account
King Abdulaziz University,53.1–55.8,2670,37.8,365,28.6,504,90.7,113,46.1,878,75.4,325,master_account
University of Konstanz,53.1–55.8,2680,39.8,314,44.4,196,71.5,522,97.4,93,76.4,305,master_account
Kyung Hee University,53.1–55.8,2690,40.3,300,40.0,249,71.0,538,95.9,108,71.5,383,master_account
Lappeenranta-Lahti University of Technology LUT,53.1–55.8,2700,33.4,526,36.7,308,91.7,97,65.1,545,64.2,499,master_account
La Trobe University,53.1–55.8,2710,28.9,750,35.4,339,88.1,153,73.8,352,88.2,149,master_account
Université Laval,53.1–55.8,2720,40.7,286,38.7,267,73.7,469,94.2,125,76.2,310,master_account
Linköping University,53.1–55.8,2730,28.3,788,41.3,231,86.4,185,92.8,137,70.7,397,master_account
Loughborough University,53.1–55.8,2740,36.5,412,34.4,368,77.4,383,70.2,429,91.5,108,master_account
